70 2414
0 17 2358
17 0 2358
0 37 892
37 0 892
0 32 1462
32 0 1462
0 5 3007
5 0 3007
0 4 656
4 0 656
0 7 181
7 0 181
0 55 3542
55 0 3542
0 58 3145
58 0 3145
0 14 736
14 0 736
0 28 3128
28 0 3128
0 39 3394
39 0 3394
0 16 2481
16 0 2481
0 36 1538
36 0 1538
0 69 3165
69 0 3165
0 50 2794
50 0 2794
0 47 1678
47 0 1678
0 23 3389
23 0 3389
0 62 562
62 0 562
0 3 956
3 0 956
0 45 2010
45 0 2010
0 49 1013
49 0 1013
0 57 1787
57 0 1787
0 8 999
8 0 999
0 66 1722
66 0 1722
0 40 581
40 0 581
0 60 259
60 0 259
0 2 499
2 0 499
0 1 2208
1 0 2208
0 33 18
33 0 18
0 26 2155
26 0 2155
0 19 2652
19 0 2652
0 54 1968
54 0 1968
0 48 3127
48 0 3127
0 44 48
44 0 48
0 64 594
64 0 594
1 14 662
14 1 662
1 20 1286
20 1 1286
1 21 1385
21 1 1385
1 31 3609
31 1 3609
1 32 1278
32 1 1278
1 51 644
51 1 644
1 7 373
7 1 373
1 57 2065
57 1 2065
1 42 2664
42 1 2664
1 55 2300
55 1 2300
1 13 2221
13 1 2221
1 65 1215
65 1 1215
1 69 2896
69 1 2896
1 16 1476
16 1 1476
1 3 481
3 1 481
1 12 987
12 1 987
1 50 2386
50 1 2386
1 8 1563
8 1 1563
1 19 675
19 1 675
1 60 962
60 1 962
1 38 422
38 1 422
1 36 544
36 1 544
1 34 361
34 1 361
1 5 1135
5 1 1135
1 43 1363
43 1 1363
1 47 2189
47 1 2189
1 26 3001
26 1 3001
1 40 2677
40 1 2677
1 41 1122
41 1 1122
1 27 846
27 1 846
1 66 430
66 1 430
1 10 1776
10 1 1776
1 49 2718
49 1 2718
2 20 2392
20 2 2392
2 41 615
41 2 615
2 32 2614
32 2 2614
2 50 2267
50 2 2267
2 8 2832
8 2 2832
2 65 3395
65 2 3395
2 40 1150
40 2 1150
2 56 2785
56 2 2785
2 5 2523
5 2 2523
2 4 150
4 2 150
2 47 378
47 2 378
2 37 1417
37 2 1417
2 36 242
36 2 242
2 46 2763
46 2 2763
2 10 1001
10 2 1001
2 27 2674
27 2 2674
2 60 924
60 2 924
2 34 556
34 2 556
2 53 2054
53 2 2054
2 29 2604
29 2 2604
2 59 2009
59 2 2009
2 22 3604
22 2 3604
2 64 32
64 2 32
2 62 1192
62 2 1192
2 51 735
51 2 735
2 38 2331
38 2 2331
2 58 2908
58 2 2908
2 67 1110
67 2 1110
2 25 2657
25 2 2657
2 28 1934
28 2 1934
2 9 232
9 2 232
2 13 3376
13 2 3376
2 48 81
48 2 81
2 26 419
26 2 419
2 33 2595
33 2 2595
3 53 3250
53 3 3250
3 26 1920
26 3 1920
3 69 49
69 3 49
3 22 2391
22 3 2391
3 6 3533
6 3 3533
3 28 2225
28 3 2225
3 25 436
25 3 436
3 44 3549
44 3 3549
3 60 20
60 3 20
3 66 2888
66 3 2888
3 43 2266
43 3 2266
3 11 1496
11 3 1496
3 46 2668
46 3 2668
3 37 3335
37 3 3335
3 54 2784
54 3 2784
3 57 505
57 3 505
3 13 2830
13 3 2830
3 62 2886
62 3 2886
3 52 2664
52 3 2664
3 56 309
56 3 309
3 65 3194
65 3 3194
3 24 1533
24 3 1533
3 30 2601
30 3 2601
3 64 2341
64 3 2341
3 23 560
23 3 560
3 68 2582
68 3 2582
3 14 2960
14 3 2960
4 55 2151
55 4 2151
4 10 1827
10 4 1827
4 45 1793
45 4 1793
4 62 1511
62 4 1511
4 27 514
27 4 514
4 30 2895
30 4 2895
4 24 555
24 4 555
4 65 3052
65 4 3052
4 44 2914
44 4 2914
4 63 2715
63 4 2715
4 69 178
69 4 178
4 33 236
33 4 236
4 16 909
16 4 909
4 8 1325
8 4 1325
4 22 2455
22 4 2455
4 59 3616
59 4 3616
4 11 2327
11 4 2327
4 54 1646
54 4 1646
4 42 475
42 4 475
4 21 3507
21 4 3507
4 13 2458
13 4 2458
4 53 870
53 4 870
4 64 2005
64 4 2005
4 60 2003
60 4 2003
4 66 1452
66 4 1452
4 9 347
9 4 347
4 12 3325
12 4 3325
4 6 2012
6 4 2012
4 29 2686
29 4 2686
4 20 2948
20 4 2948
4 46 3
46 4 3
4 58 2240
58 4 2240
4 14 201
14 4 201
4 48 43
48 4 43
4 34 2726
34 4 2726
4 31 3591
31 4 3591
5 6 1092
6 5 1092
5 60 2081
60 5 2081
5 26 3039
26 5 3039
5 67 3582
67 5 3582
5 69 1938
69 5 1938
5 37 42
37 5 42
5 27 1640
27 5 1640
5 22 2361
22 5 2361
5 30 3555
30 5 3555
5 65 74
65 5 74
5 31 2268
31 5 2268
5 35 395
35 5 395
5 49 814
49 5 814
5 33 2030
33 5 2030
5 20 778
20 5 778
5 10 342
10 5 342
5 48 73
48 5 73
5 29 1446
29 5 1446
5 12 2052
12 5 2052
5 50 3347
50 5 3347
5 44 3443
44 5 3443
5 28 1377
28 5 1377
5 58 376
58 5 376
5 17 2445
17 5 2445
5 19 427
19 5 427
5 64 2171
64 5 2171
5 15 1016
15 5 1016
5 13 2959
13 5 2959
5 34 2981
34 5 2981
5 39 54
39 5 54
5 66 174
66 5 174
6 31 1536
31 6 1536
6 20 613
20 6 613
6 17 1293
17 6 1293
6 58 176
58 6 176
6 21 2897
21 6 2897
6 64 1530
64 6 1530
6 36 3063
36 6 3063
6 24 2285
24 6 2285
6 25 2878
25 6 2878
6 11 1558
11 6 1558
6 22 202
22 6 202
6 69 1262
69 6 1262
6 65 2597
65 6 2597
6 56 1487
56 6 1487
6 8 868
8 6 868
6 60 1156
60 6 1156
6 16 1128
16 6 1128
6 29 541
29 6 541
6 49 2384
49 6 2384
6 48 3359
48 6 3359
6 37 2585
37 6 2585
6 50 2686
50 6 2686
6 62 3025
62 6 3025
