70 4830
0 1 534
1 0 534
0 2 6318
2 0 6318
0 3 3187
3 0 3187
0 4 1249
4 0 1249
0 5 1841
5 0 1841
0 6 4004
6 0 4004
0 7 6775
7 0 6775
0 8 1493
8 0 1493
0 9 138
9 0 138
0 10 1852
10 0 1852
0 11 303
11 0 303
0 12 1248
12 0 1248
0 13 1547
13 0 1547
0 14 1060
14 0 1060
0 15 3855
15 0 3855
0 16 4806
16 0 4806
0 17 5213
17 0 5213
0 18 5205
18 0 5205
0 19 2352
19 0 2352
0 20 1375
20 0 1375
0 21 4783
21 0 4783
0 22 4759
22 0 4759
0 23 6020
23 0 6020
0 24 2074
24 0 2074
0 25 4365
25 0 4365
0 26 851
26 0 851
0 27 2306
27 0 2306
0 28 2505
28 0 2505
0 29 5298
29 0 5298
0 30 5290
30 0 5290
0 31 841
31 0 841
0 32 671
32 0 671
0 33 6190
33 0 6190
0 34 267
34 0 267
0 35 5860
35 0 5860
0 36 5000
36 0 5000
0 37 6481
37 0 6481
0 38 3652
38 0 3652
0 39 1890
39 0 1890
0 40 6096
40 0 6096
0 41 775
41 0 775
0 42 4751
42 0 4751
0 43 3944
43 0 3944
0 44 2672
44 0 2672
0 45 6436
45 0 6436
0 46 3422
46 0 3422
0 47 5574
47 0 5574
0 48 5566
48 0 5566
0 49 5693
49 0 5693
0 50 1813
50 0 1813
0 51 3642
51 0 3642
0 52 2448
52 0 2448
0 53 1841
53 0 1841
0 54 3479
54 0 3479
0 55 7170
55 0 7170
0 56 4592
56 0 4592
0 57 1235
57 0 1235
0 58 4924
58 0 4924
0 59 309
59 0 309
0 60 17
60 0 17
0 61 4129
61 0 4129
0 62 4113
62 0 4113
0 63 361
63 0 361
0 64 3663
64 0 3663
0 65 2907
65 0 2907
0 66 4510
66 0 4510
0 67 4610
67 0 4610
0 68 3703
68 0 3703
0 69 2785
69 0 2785
1 2 6384
2 1 6384
1 3 3185
3 1 3185
1 4 5111
4 1 5111
1 5 619
5 1 619
1 6 5007
6 1 5007
1 7 1114
7 1 1114
1 8 696
8 1 696
1 9 6080
9 1 6080
1 10 4926
10 1 4926
1 11 398
11 1 398
1 12 4449
12 1 4449
1 13 4527
13 1 4527
1 14 6723
14 1 6723
1 15 1068
15 1 1068
1 16 1831
16 1 1831
1 17 5737
17 1 5737
1 18 4559
18 1 4559
1 19 6039
19 1 6039
1 20 959
20 1 959
1 21 1378
21 1 1378
1 22 2198
22 1 2198
1 23 6731
23 1 6731
1 24 4666
24 1 4666
1 25 7048
25 1 7048
1 26 132
26 1 132
1 27 1850
27 1 1850
1 28 3396
28 1 3396
1 29 4154
29 1 4154
1 30 6298
30 1 6298
1 31 881
31 1 881
1 32 6426
32 1 6426
1 33 474
33 1 474
1 34 1108
34 1 1108
1 35 6498
35 1 6498
1 36 2342
36 1 2342
1 37 5948
37 1 5948
1 38 4668
38 1 4668
1 39 3463
39 1 3463
1 40 1201
40 1 1201
1 41 4196
41 1 4196
1 42 161
42 1 161
1 43 1931
43 1 1931
1 44 4176
44 1 4176
1 45 5972
45 1 5972
1 46 39
46 1 39
1 47 4377
47 1 4377
1 48 5178
48 1 5178
1 49 2991
49 1 2991
1 50 5339
50 1 5339
1 51 3575
51 1 3575
1 52 5209
52 1 5209
1 53 227
53 1 227
1 54 1740
54 1 1740
1 55 3743
55 1 3743
1 56 5848
56 1 5848
1 57 214
57 1 214
1 58 6622
58 1 6622
1 59 2877
59 1 2877
1 60 5388
60 1 5388
1 61 5599
61 1 5599
1 62 3668
62 1 3668
1 63 6771
63 1 6771
1 64 205
64 1 205
1 65 4657
65 1 4657
1 66 7072
66 1 7072
1 67 3776
67 1 3776
1 68 4487
68 1 4487
1 69 5816
69 1 5816
2 3 4336
3 2 4336
2 4 6509
4 2 6509
2 5 2780
5 2 2780
2 6 3935
6 2 3935
2 7 632
7 2 632
2 8 4100
8 2 4100
2 9 2993
9 2 2993
2 10 4322
10 2 4322
2 11 4987
11 2 4987
2 12 5577
12 2 5577
2 13 1430
13 2 1430
2 14 7224
14 2 7224
2 15 4619
15 2 4619
2 16 3331
16 2 3331
2 17 2695
17 2 2695
2 18 4673
18 2 4673
2 19 3076
19 2 3076
2 20 6339
20 2 6339
2 21 238
21 2 238
2 22 3054
22 2 3054
2 23 3364
23 2 3364
2 24 3395
24 2 3395
2 25 3516
25 2 3516
2 26 4221
26 2 4221
2 27 2755
27 2 2755
2 28 7025
28 2 7025
2 29 4801
29 2 4801
2 30 6559
30 2 6559
2 31 4562
31 2 4562
2 32 4355
32 2 4355
2 33 349
33 2 349
2 34 5299
34 2 5299
2 35 6170
35 2 6170
2 36 5906
36 2 5906
2 37 578
37 2 578
2 38 5714
38 2 5714
2 39 7156
39 2 7156
2 40 6075
40 2 6075
2 41 347
41 2 347
2 42 2357
42 2 2357
2 43 6829
43 2 6829
2 44 6322
44 2 6322
2 45 1775
45 2 1775
2 46 2944
46 2 2944
2 47 3462
47 2 3462
2 48 1587
48 2 1587
2 49 2092
49 2 2092
2 50 4694
50 2 4694
2 51 2137
51 2 2137
2 52 2757
52 2 2757
2 53 7167
53 2 7167
2 54 2045
54 2 2045
2 55 2048
55 2 2048
2 56 3112
56 2 3112
2 57 4197
57 2 4197
2 58 5044
58 2 5044
2 59 4394
59 2 4394
2 60 3864
60 2 3864
2 61 1399
61 2 1399
2 62 7049
62 2 7049
2 63 6292
63 2 6292
2 64 2145
64 2 2145
2 65 251
65 2 251
2 66 5046
66 2 5046
2 67 2805
67 2 2805
2 68 4025
68 2 4025
2 69 3257
69 2 3257
3 4 6918
4 3 6918
3 5 195
5 3 195
3 6 5093
6 3 5093
3 7 5061
7 3 5061
3 8 2434
8 3 2434
3 9 2122
9 3 2122
3 10 6994
10 3 6994
3 11 1263
11 3 1263
3 12 5204
12 3 5204
3 13 5869
13 3 5869
3 14 1216
14 3 1216
3 15 598
15 3 598
3 16 5185
16 3 5185
3 17 2389
17 3 2389
3 18 5524
18 3 5524
3 19 3850
19 3 3850
3 20 1186
20 3 1186
3 21 1862
21 3 1862
3 22 5194
22 3 5194
3 23 259
23 3 259
3 24 3959
24 3 3959
3 25 6918
25 3 6918
3 26 3382
26 3 3382
3 27 5228
27 3 5228
3 28 6833
28 3 6833
3 29 2199
29 3 2199
3 30 5331
30 3 5331
3 31 3143
31 3 3143
3 32 875
32 3 875
3 33 731
33 3 731
3 34 2271
34 3 2271
3 35 2033
35 3 2033
3 36 776
36 3 776
3 37 114
37 3 114
3 38 3719
38 3 3719
3 39 4877
39 3 4877
3 40 6047
40 3 6047
3 41 4467
41 3 4467
3 42 1740
42 3 1740
3 43 6167
43 3 6167
3 44 5792
44 3 5792
3 45 61
45 3 61
3 46 5916
46 3 5916
3 47 6053
47 3 6053
3 48 3490
48 3 3490
3 49 3610
49 3 3610
3 50 1166
50 3 1166
3 51 6680
51 3 6680
3 52 6928
52 3 6928
3 53 2852
53 3 2852
3 54 5047
54 3 5047
3 55 5219
55 3 5219
3 56 1237
56 3 1237
3 57 6180
57 3 6180
3 58 4022
58 3 4022
3 59 1046
59 3 1046
3 60 6286
60 3 6286
3 61 3111
61 3 3111
3 62 2634
62 3 2634
3 63 3448
63 3 3448
3 64 7004
64 3 7004
3 65 4987
65 3 4987
3 66 5973
66 3 5973
3 67 464
67 3 464
3 68 4419
68 3 4419
3 69 3816
69 3 3816
4 5 7149
5 4 7149
4 6 5421
6 4 5421
4 7 3475
7 4 3475
4 8 5260
8 4 5260
4 9 199
9 4 199
4 10 249
10 4 249
4 11 288
11 4 288
4 12 2262
12 4 2262
4 13 1578
13 4 1578
4 14 2882
14 4 2882
4 15 6458
15 4 6458
4 16 1599
16 4 1599
4 17 4080
17 4 4080
4 18 5563
18 4 5563
4 19 4947
19 4 4947
4 20 639
20 4 639
4 21 5546
21 4 5546
4 22 5656
22 4 5656
4 23 319
23 4 319
4 24 7056
24 4 7056
4 25 1375
25 4 1375
4 26 4625
26 4 4625
4 27 927
27 4 927
4 28 3541
28 4 3541
4 29 1597
29 4 1597
4 30 3761
30 4 3761
4 31 5627
31 4 5627
4 32 967
32 4 967
4 33 5685
33 4 5685
4 34 4794
34 4 4794
4 35 5816
35 4 5816
4 36 713
36 4 713
4 37 7136
37 4 7136
4 38 4734
38 4 4734
4 39 3185
39 4 3185
4 40 1595
40 4 1595
4 41 693
41 4 693
4 42 4600
42 4 4600
4 43 5462
43 4 5462
4 44 6594
44 4 6594
4 45 6737
45 4 6737
4 46 863
46 4 863
4 47 1164
47 4 1164
4 48 6604
48 4 6604
4 49 6791
49 4 6791
4 50 3982
50 4 3982
4 51 2813
51 4 2813
4 52 5668
52 4 5668
4 53 6270
53 4 6270
4 54 902
54 4 902
4 55 5534
55 4 5534
4 56 300
56 4 300
4 57 3868
57 4 3868
4 58 1933
58 4 1933
4 59 364
59 4 364
4 60 2448
60 4 2448
4 61 2188
61 4 2188
4 62 6524
62 4 6524
4 63 5703
63 4 5703
4 64 5126
64 4 5126
4 65 1736
65 4 1736
4 66 2521
66 4 2521
4 67 3064
67 4 3064
4 68 7036
68 4 7036
4 69 607
69 4 607
5 6 3471
6 5 3471
5 7 535
7 5 535
5 8 4232
8 5 4232
5 9 220
9 5 220
5 10 6597
10 5 6597
5 11 4132
11 5 4132
5 12 647
12 5 647
5 13 855
13 5 855
5 14 487
14 5 487
5 15 5587
15 5 5587
5 16 1587
16 5 1587
5 17 7233
17 5 7233
5 18 583
18 5 583
5 19 6319
19 5 6319
5 20 329
20 5 329
5 21 174
21 5 174
5 22 1338
22 5 1338
5 23 4520
23 5 4520
5 24 1243
24 5 1243
5 25 6848
25 5 6848
5 26 4148
26 5 4148
5 27 3293
27 5 3293
5 28 542
28 5 542
5 29 5815
29 5 5815
5 30 1601
30 5 1601
5 31 5099
31 5 5099
5 32 6135
32 5 6135
5 33 7011
33 5 7011
5 34 815
34 5 815
5 35 2907
35 5 2907
5 36 3270
36 5 3270
5 37 4616
37 5 4616
5 38 5758
38 5 5758
5 39 1416
39 5 1416
5 40 674
40 5 674
5 41 162
41 5 162
5 42 4239
42 5 4239
5 43 1945
43 5 1945
5 44 4923
44 5 4923
5 45 3297
45 5 3297
5 46 1974
46 5 1974
5 47 4307
47 5 4307
5 48 778
48 5 778
5 49 6148
49 5 6148
5 50 3251
50 5 3251
5 51 1669
51 5 1669
5 52 4956
52 5 4956
5 53 4444
53 5 4444
5 54 3320
54 5 3320
5 55 6351
55 5 6351
5 56 1459
56 5 1459
5 57 5366
57 5 5366
5 58 1308
58 5 1308
5 59 4631
59 5 4631
5 60 2034
60 5 2034
5 61 6087
61 5 6087
5 62 1214
62 5 1214
5 63 5093
63 5 5093
5 64 3240
64 5 3240
5 65 1490
65 5 1490
5 66 4822
66 5 4822
5 67 6261
67 5 6261
5 68 7044
68 5 7044
5 69 614
