100 9900
0 1 18644
0 2 28489
0 3 9908
0 4 24547
0 5 13949
0 6 10475
0 7 6604
0 8 10537
0 9 4577
0 10 28291
0 11 12604
0 12 16816
0 13 4551
0 14 29605
0 15 23167
0 16 14035
0 17 6839
0 18 6776
0 19 19370
0 20 10689
0 21 29531
0 22 20198
0 23 27594
0 24 12494
0 25 28585
0 26 16162
0 27 13330
0 28 17177
0 29 11174
0 30 26806
0 31 1385
0 32 70
0 33 13193
0 34 6209
0 35 26016
0 36 -81
0 37 29387
0 38 29257
0 39 9218
0 40 868
0 41 2634
0 42 4728
0 43 28547
0 44 9938
0 45 12157
0 46 22466
0 47 26494
0 48 1956
0 49 2493
0 50 14170
0 51 19817
0 52 11220
0 53 17441
0 54 23881
0 55 24421
0 56 15155
0 57 12727
0 58 3065
0 59 12170
0 60 16813
0 61 15019
0 62 16792
0 63 15788
0 64 16431
0 65 12515
0 66 17953
0 67 18495
0 68 6924
0 69 566
0 70 5126
0 71 16100
0 72 1707
0 73 28987
0 74 28083
0 75 776
0 76 22436
0 77 25663
0 78 3316
0 79 14827
0 80 18603
0 81 20879
0 82 5434
0 83 2281
0 84 23129
0 85 14515
0 86 2879
0 87 4898
0 88 15160
0 89 29108
0 90 24256
0 91 26502
0 92 10430
0 93 7634
0 94 12852
0 95 20927
0 96 9055
0 97 12492
0 98 5307
0 99 6299
1 0 18665
1 2 24146
1 3 2380
1 4 25283
1 5 12156
1 6 12396
1 7 27767
1 8 24486
1 9 11457
1 10 28208
1 11 2939
1 12 13919
1 13 14197
1 14 18631
1 15 22091
1 16 9393
1 17 9019
1 18 22550
1 19 26104
1 20 29304
1 21 26898
1 22 10296
1 23 13529
1 24 19189
1 25 7778
1 26 4627
1 27 3945
1 28 27733
1 29 1596
1 30 17960
1 31 9017
1 32 7610
1 33 19805
1 34 28931
1 35 21572
1 36 15625
1 37 10664
1 38 28909
1 39 5592
1 40 10985
1 41 20663
1 42 24838
1 43 24585
1 44 11472
1 45 10748
1 46 19406
1 47 22170
1 48 4766
1 49 15865
1 50 388
1 51 22553
1 52 13415
1 53 4951
1 54 13849
1 55 1414
1 56 29636
1 57 6591
1 58 14826
1 59 28381
1 60 1087
1 61 20915
1 62 16204
1 63 8440
1 64 4495
1 65 23053
1 66 22867
1 67 25023
1 68 15867
1 69 21817
1 70 676
1 71 26212
1 72 3757
1 73 23848
1 74 15117
1 75 20121
1 76 9284
1 77 18046
1 78 9786
1 79 24641
1 80 18213
1 81 17729
1 82 23685
1 83 12821
1 84 6532
1 85 28828
1 86 19957
1 87 13644
1 88 8198
1 89 -70
1 90 26058
1 91 22448
1 92 20708
1 93 3
1 94 11476
1 95 362
1 96 22890
1 97 1838
1 98 6775
1 99 15526
2 0 5154
2 1 163
2 3 18743
2 4 25025
2 5 6821
2 6 27490
2 7 5032
2 8 18027
2 9 23636
2 10 16279
2 11 28156
2 12 3803
2 13 1238
2 14 4155
2 15 8986
2 16 4021
2 17 23831
2 18 4893
2 19 22063
2 20 3424
2 21 8367
2 22 2484
2 23 28029
2 24 7703
2 25 26611
2 26 28752
2 27 18235
2 28 1220
2 29 18486
2 30 16444
2 31 28692
2 32 24381
2 33 28484
2 34 11888
2 35 12292
2 36 17292
2 37 22737
2 38 15533
2 39 5331
2 40 27507
2 41 27978
2 42 12581
2 43 23266
2 44 21776
2 45 23398
2 46 2432
2 47 746
2 48 15000
2 49 13872
2 50 15945
2 51 19329
2 52 27007
2 53 23700
2 54 508
2 55 19348
2 56 12684
2 57 12584
2 58 19680
2 59 18123
2 60 2939
2 61 20745
2 62 8559
2 63 12321
2 64 5225
2 65 7331
2 66 12351
2 67 28766
2 68 18303
2 69 15400
2 70 28191
2 71 27917
2 72 7102
2 73 19355
2 74 15371
2 75 23582
2 76 4284
2 77 21454
2 78 5522
2 79 21431
2 80 1422
2 81 5813
2 82 19833
2 83 6571
