15 105
0 4 127
0 1 -2
0 2 152
0 10 31
0 11 284
0 9 171
0 7 145
0 3 64
1 3 54
1 9 18
1 0 59
1 5 185
1 2 165
2 13 19
2 10 71
2 14 40
2 9 220
2 8 31
2 5 42
2 1 202
3 2 287
3 14 81
3 10 274
3 4 214
3 12 148
3 1 307
3 6 81
3 9 29
3 11 -11
3 13 120
4 14 312
4 11 276
4 10 149
4 8 86
4 6 124
4 9 199
4 5 -14
4 7 114
5 11 179
5 13 2
5 9 195
5 14 162
5 6 32
5 3 309
6 1 89
6 9 81
6 10 129
6 7 86
6 5 199
6 0 239
6 2 226
6 14 38
7 4 98
7 2 47
7 6 37
7 12 149
7 10 311
8 14 238
8 1 239
8 2 302
8 9 39
8 4 118
9 12 266
9 1 280
9 3 39
9 8 240
9 6 237
10 14 8
10 1 6
10 7 -1
10 3 56
10 4 102
10 12 34
11 6 111
11 13 295
11 14 258
11 1 132
11 2 112
12 14 205
12 13 50
12 10 41
12 9 100
12 8 268
12 4 84
12 5 212
12 11 41
12 7 300
12 6 21
12 0 184
13 1 -13
13 12 143
13 5 20
13 9 -1
13 6 244
13 8 270
13 14 18
13 2 22
14 8 228
14 1 46
14 10 6
14 2 23
14 12 13
14 11 215
14 9 190
14 4 97
6
