20 190
0 13 55
0 8 209
0 2 47
0 12 310
0 3 28
0 7 460
0 4 450
0 6 493
1 12 17
1 5 363
1 9 412
1 11 560
1 13 319
1 17 497
1 7 435
1 3 245
1 19 346
1 4 300
1 2 381
1 14 39
2 8 550
2 3 199
2 16 540
2 11 232
2 14 35
2 13 287
2 1 366
2 5 216
2 15 182
2 9 495
3 6 419
3 8 114
3 15 568
3 18 67
3 1 187
3 13 434
3 16 40
3 5 83
3 17 294
3 4 183
4 3 329
4 6 380
4 0 435
4 19 20
4 11 151
4 8 358
4 18 324
4 9 117
4 7 75
4 1 349
5 15 493
5 4 228
5 12 177
5 19 364
5 14 320
5 11 387
5 2 98
5 7 414
5 6 308
5 10 165
5 3 298
6 10 101
6 4 202
6 14 24
6 17 212
6 8 416
6 18 222
6 13 303
7 19 387
7 6 231
7 2 238
7 4 185
7 10 335
7 16 483
7 5 345
7 0 456
7 11 524
7 9 3
8 11 343
8 19 148
8 13 280
8 0 412
8 17 3
8 18 381
8 16 220
8 4 270
8 7 327
8 15 507
8 12 184
8 6 340
9 10 440
9 17 177
9 4 567
9 3 441
9 12 245
9 11 383
9 0 203
9 18 251
9 7 369
9 6 450
10 19 170
10 0 4
10 14 106
10 6 311
10 7 513
10 4 180
10 1 66
10 3 233
11 4 281
11 1 221
11 0 551
11 15 19
11 12 336
11 2 125
11 19 151
12 0 523
12 16 309
12 3 138
12 5 414
12 8 171
12 7 549
12 13 196
12 18 482
12 1 395
12 10 382
12 15 145
13 9 372
13 1 364
13 4 545
13 12 454
13 10 176
13 14 424
14 2 440
14 0 216
14 16 90
14 4 403
14 19 470
14 5 166
14 7 44
14 3 103
14 13 118
14 6 79
14 10 174
15 4 420
15 0 148
15 18 358
15 17 333
15 1 554
15 16 459
15 7 566
15 12 536
15 14 286
15 8 501
16 6 28
16 4 87
16 5 368
16 17 130
16 18 67
16 15 282
16 13 278
16 14 281
16 3 365
16 10 526
17 12 151
17 2 154
17 10 92
17 4 523
17 9 278
17 5 539
17 14 563
18 7 269
18 15 136
18 3 110
18 8 302
18 14 361
18 9 190
18 0 485
18 17 379
18 19 529
18 2 509
19 2 45
19 9 181
19 6 133
19 7 132
19 3 222
19 13 279
19 1 314
19 11 243
19 12 545
19 14 109
13
