30 870
0 1 1444
0 2 96
0 3 1826
0 4 1813
0 5 405
0 6 2386
0 7 270
0 8 2420
0 9 2270
0 10 370
0 11 1733
0 12 1165
0 13 1882
0 14 2009
0 15 1458
0 16 415
0 17 1823
0 18 2090
0 19 2231
0 20 597
0 21 1085
0 22 1587
0 23 1439
0 24 1359
0 25 2595
0 26 2083
0 27 1013
0 28 567
0 29 1985
1 0 192
1 2 804
1 3 993
1 4 654
1 5 437
1 6 68
1 7 1966
1 8 703
1 9 635
1 10 2475
1 11 801
1 12 818
1 13 2164
1 14 2290
1 15 1807
1 16 1249
1 17 711
1 18 1814
1 19 117
1 20 458
1 21 1849
1 22 2471
1 23 1374
1 24 1210
1 25 827
1 26 633
1 27 1639
1 28 1140
1 29 2508
2 0 1843
2 1 1301
2 3 989
2 4 2233
2 5 2372
2 6 1983
2 7 1458
2 8 2112
2 9 2077
2 10 2111
2 11 1895
2 12 1265
2 13 2327
2 14 1453
2 15 2056
2 16 2232
2 17 2451
2 18 1555
2 19 2539
2 20 1104
2 21 1443
2 22 1920
2 23 2524
2 24 1222
2 25 142
2 26 2209
2 27 2236
2 28 353
2 29 2449
3 0 38
3 1 543
3 2 1226
3 4 303
3 5 960
3 6 143
3 7 805
3 8 440
3 9 1247
3 10 2078
3 11 2502
3 12 1222
3 13 2096
3 14 2362
3 15 2254
3 16 468
3 17 652
3 18 112
3 19 2369
3 20 864
3 21 605
3 22 289
3 23 790
3 24 801
3 25 2561
3 26 853
3 27 407
3 28 415
3 29 1351
4 0 2590
4 1 1526
4 2 580
4 3 1862
4 5 2165
4 6 1710
4 7 1146
4 8 1752
4 9 2230
4 10 1170
4 11 1410
4 12 2456
4 13 927
4 14 698
4 15 2042
4 16 815
4 17 61
4 18 770
4 19 1090
4 20 13
4 21 579
4 22 343
4 23 97
4 24 989
4 25 411
4 26 2160
4 27 1133
4 28 1062
4 29 1407
5 0 767
5 1 1264
5 2 353
5 3 20
5 4 1485
5 6 2021
5 7 1383
5 8 1518
5 9 1599
5 10 2145
5 11 1748
5 12 268
5 13 2007
5 14 1517
5 15 2139
5 16 399
5 17 1197
5 18 2138
5 19 1489
5 20 2439
5 21 2508
5 22 61
5 23 889
5 24 2567
5 25 1478
5 26 1414
5 27 1430
5 28 117
5 29 1273
6 0 715
6 1 1001
6 2 2001
6 3 2572
6 4 1996
6 5 455
6 7 873
6 8 794
6 9 1191
6 10 911
6 11 2310
6 12 1933
6 13 2452
6 14 312
6 15 2129
6 16 220
6 17 896
6 18 984
6 19 2022
6 20 2123
6 21 1381
6 22 300
6 23 2279
6 24 1225
6 25 2550
6 26 2542
6 27 2038
6 28 666
6 29 1710
7 0 644
7 1 2235
7 2 2194
7 3 1773
7 4 438
7 5 578
7 6 1414
7 8 1662
7 9 605
7 10 653
7 11 556
7 12 785
7 13 197
7 14 2195
7 15 550
7 16 2206
7 17 2235
7 18 822
7 19 47
7 20 950
7 21 1873
7 22 1543
7 23 474
7 24 2456
7 25 155
7 26 2325
7 27 1839
7 28 1263
7 29 1336
8 0 2162
8 1 1154
8 2 649
8 3 993
8 4 1228
8 5 509
8 6 2463
8 7 2583
8 9 1159
8 10 400
8 11 1434
8 12 2534
8 13 1558
8 14 1678
8 15 239
8 16 771
8 17 29
8 18 1893
8 19 1327
8 20 1501
8 21 78
8 22 1253
8 23 1294
8 24 2475
8 25 1343
8 26 2301
8 27 2089
8 28 2338
8 29 199
9 0 1774
9 1 1052
9 2 1975
9 3 483
9 4 1176
9 5 701
9 6 1351
9 7 2592
9 8 821
9 10 2127
9 11 995
9 12 1693
9 13 1762
9 14 1459
9 15 2516
9 16 2037
9 17 570
9 18 847
9 19 1853
9 20 1658
9 21 2465
9 22 2573
9 23 2531
9 24 2064
9 25 1600
9 26 1845
9 27 2299
9 28 1425
9 29 1988
10 0 1890
10 1 955
10 2 1941
10 3 2492
10 4 1873
10 5 1645
10 6 1416
10 7 1502
10 8 2024
10 9 2577
10 11 1392
10 12 2147
10 13 1479
10 14 1936
10 15 1329
10 16 626
10 17 1607
10 18 1300
10 19 1418
10 20 825
10 21 2031
10 22 53
10 23 1353
10 24 1803
10 25 2535
10 26 419
10 27 2073
10 28 980
10 29 1966
11 0 898
11 1 504
11 2 407
11 3 1590
11 4 744
11 5 293
11 6 680
11 7 906
11 8 781
11 9 1342
11 10 1496
11 12 1042
11 13 2489
11 14 494
11 15 1556
11 16 905
11 17 1257
11 18 1061
11 19 699
11 20 1875
11 21 626
11 22 587
11 23 664
11 24 1942
11 25 1843
11 26 2476
11 27 1647
11 28 2259
11 29 1901
12 0 110
12 1 967
12 2 2062
12 3 220
12 4 2054
12 5 1775
12 6 1201
12 7 1313
12 8 2035
12 9 1097
12 10 198
12 11 1039
12 13 1277
12 14 2381
12 15 2604
12 16 1658
12 17 931
12 18 1442
12 19 2040
12 20 991
12 21 592
12 22 1026
12 23 1409
12 24 1132
12 25 1084
12 26 1571
12 27 145
12 28 1957
12 29 2009
13 0 2442
13 1 963
13 2 344
13 3 901
13 4 367
13 5 854
13 6 2596
13 7 2105
13 8 484
13 9 2589
13 10 814
13 11 1324
13 12 1524
13 14 873
13 15 945
13 16 2324
13 17 2406
13 18 2474
13 19 905
13 20 63
13 21 1185
13 22 2065
13 23 1795
13 24 1718
13 25 238
13 26 2354
13 27 94
13 28 530
13 29 2261
14 0 721
14 1 2257
14 2 1786
14 3 1167
14 4 1043
14 5 2409
14 6 402
14 7 2146
14 8 578
14 9 2237
14 10 1826
14 11 987
14 12 2445
14 13 118
14 15 1156
14 16 1145
14 17 53
14 18 20
14 19 692
14 20 2173
14 21 2037
14 22 1979
14 23 100
14 24 441
14 25 1303
14 26 1847
14 27 629
14 28 1504
14 29 2505
15 0 1747
15 1 1780
15 2 26
15 3 2103
15 4 170
15 5 816
15 6 2381
15 7 249
15 8 663
15 9 671
15 10 363
15 11 1547
15 12 469
15 13 1952
15 14 1005
15 16 1998
15 17 1681
15 18 2605
15 19 1235
15 20 895
15 21 1754
15 22 2065
15 23 657
15 24 1404
15 25 1497
15 26 174
15 27 331
15 28 1899
15 29 208
16 0 315
16 1 915
16 2 1590
16 3 1464
16 4 55
16 5 1728
16 6 2226
16 7 604
16 8 444
16 9 767
16 10 2547
16 11 605
16 12 1320
16 13 1486
16 14 1125
16 15 1606
16 17 2327
16 18 1214
16 19 2390
16 20 1197
16 21 1516
16 22 1130
16 23 1574
16 24 2108
16 25 1776
16 26 2586
16 27 1011
16 28 93
16 29 1020
17 0 563
17 1 1289
17 2 1131
17 3 592
17 4 721
17 5 240
17 6 277
17 7 1508
17 8 968
17 9 1600
17 10 1838
17 11 1605
17 12 2464
17 13 1789
17 14 2069
17 15 923
17 16 1819
17 18 448
17 19 2305
17 20 503
17 21 2418
17 22 1472
17 23 283
17 24 376
17 25 1061
17 26 662
17 27 1727
17 28 188
17 29 1307
18 0 2295
18 1 2428
18 2 1281
18 3 2092
18 4 2421
18 5 1897
18 6 819
18 7 545
18 8 1882
18 9 2534
18 10 1368
18 11 1322
18 12 1440
18 13 2569
18 14 235
18 15 1289
18 16 34
18 17 690
18 19 1778
18 20 2215
18 21 2019
18 22 2259
18 23 1758
18 24 2202
18 25 1239
18 26 1554
18 27 2031
18 28 893
18 29 2107
19 0 1088
19 1 1364
19 2 1437
19 3 1811
19 4 1973
19 5 1476
19 6 263
19 7 1512
19 8 1433
19 9 2281
19 10 237
19 11 2393
19 12 1693
19 13 1080
19 14 196
19 15 200
19 16 1373
19 17 370
19 18 1429
19 20 2590
19 21 1659
19 22 1223
19 23 1822
19 24 1411
19 25 19
19 26 2566
19 27 2396
19 28 1760
19 29 261
20 0 417
20 1 1443
20 2 104
20 3 1022
20 4 2074
20 5 315
20 6 1062
20 7 244
20 8 1568
20 9 522
20 10 1399
20 11 2282
20 12 596
20 13 439
20 14 129
20 15 1357
20 16 2531
20 17 2141
20 18 2600
20 19 299
20 21 922
20 22 1897
20 23 1120
20 24 1043
20 25 1701
20 26 431
20 27 620
20 28 1115
20 29 15
21 0 1194
21 1 340
21 2 679
21 3 1312
21 4 769
21 5 330
21 6 2456
21 7 1369
21 8 26
21 9 2138
21 10 1606
21 11 2103
21 12 1288
21 13 1831
21 14 2299
21 15 572
21 16 2473
21 17 658
21 18 1906
21 19 2022
21 20 788
21 22 1142
21 23 1029
21 24 2382
21 25 1825
21 26 712
21 27 477
21 28 876
21 29 203
22 0 1238
22 1 2339
22 2 463
22 3 603
22 4 335
22 5 1440
22 6 158
22 7 2113
22 8 844
22 9 1351
22 10 804
22 11 1971
22 12 273
22 13 2159
22 14 2032
22 15 1644
22 16 949
22 17 1395
22 18 2064
22 19 2319
22 20 2375
22 21 2484
22 23 1185
22 24 1963
22 25 1198
22 26 69
22 27 333
22 28 1613
22 29 1013
23 0 533
23 1 2102
23 2 1352
23 3 2391
23 4 170
23 5 1463
23 6 2541
23 7 2444
23 8 1393
23 9 105
23 10 43
23 11 1708
23 12 1132
23 13 517
23 14 597
23 15 1905
23 16 76
23 17 2491
23 18 1921
23 19 1486
23 20 1626
23 21 1037
23 22 1402
23 24 392
23 25 1970
23 26 987
23 27 1077
23 28 384
23 29 221
24 0 2271
24 1 1236
24 2 604
24 3 794
24 4 2041
24 5 2011
24 6 2489
24 7 1412
24 8 2390
24 9 1978
24 10 1894
24 11 1041
24 12 2518
24 13 1999
24 14 2
24 15 274
24 16 403
24 17 1351
24 18 350
24 19 1491
24 20 288
24 21 1193
24 22 1196
24 23 2227
24 25 1775
24 26 562
24 27 442
24 28 255
24 29 1951
25 0 676
25 1 2098
25 2 135
25 3 276
25 4 1109
25 5 23
25 6 788
25 7 1626
25 8 496
25 9 940
25 10 1247
25 11 2413
25 12 2123
25 13 2171
25 14 1319
25 15 2240
25 16 850
25 17 728
25 18 2112
25 19 2080
25 20 541
25 21 1698
25 22 655
25 23 140
25 24 1749
25 26 1299
25 27 950
25 28 779
25 29 249
26 0 636
26 1 84
26 2 588
26 3 1333
26 4 1120
26 5 2417
26 6 2253
26 7 1678
26 8 1588
26 9 330
26 10 1335
26 11 115
26 12 1277
26 13 1613
26 14 378
26 15 1207
26 16 2044
26 17 1720
26 18 722
26 19 1029
26 20 559
26 21 62
26 22 81
26 23 708
26 24 824
26 25 1530
26 27 160
26 28 1994
26 29 2403
27 0 1097
27 1 1417
27 2 1563
27 3 1540
27 4 2129
27 5 1114
27 6 1695
27 7 2257
27 8 1312
27 9 516
27 10 1065
27 11 2244
27 12 1886
27 13 1858
27 14 192
27 15 1088
27 16 1191
27 17 1924
27 18 2445
27 19 1628
27 20 1837
27 21 1756
27 22 1941
27 23 2188
27 24 1183
27 25 187
27 26 1228
27 28 2520
27 29 1929
28 0 303
28 1 589
28 2 1744
28 3 1740
28 4 805
28 5 1156
28 6 871
28 7 2133
28 8 1111
28 9 895
28 10 1504
28 11 1909
28 12 558
28 13 2077
28 14 642
28 15 1912
28 16 1886
28 17 1620
28 18 1082
28 19 2454
28 20 141
28 21 1282
28 22 997
28 23 2053
28 24 2401
28 25 461
28 26 1418
28 27 594
28 29 1174
29 0 1719
29 1 1862
29 2 2378
29 3 198
29 4 1484
29 5 724
29 6 2067
29 7 1008
29 8 1648
29 9 2274
29 10 611
29 11 1660
29 12 373
29 13 1817
29 14 1099
29 15 59
29 16 456
29 17 2608
29 18 2076
29 19 244
29 20 412
29 21 1111
29 22 911
29 23 2513
29 24 174
29 25 263
29 26 2157
29 27 2470
29 28 119
15
